t,at_risk,events,censored,S,S_lo,S_hi
0.08361111111111111,566,0,1,1.0,1.0,1
0.08388888888888889,565,0,1,1.0,1.0,1
0.085,564,0,1,1.0,1.0,1
0.08583333333333333,563,0,2,1.0,1.0,1
0.0913888888888889,561,0,1,1.0,1.0,1
0.0961111111111111,560,0,2,1.0,1.0,1
0.09805555555555556,558,0,1,1.0,1.0,1
0.10333333333333333,557,0,1,1.0,1.0,1
0.10805555555555556,556,0,2,1.0,1.0,1
0.10861111111111112,554,0,1,1.0,1.0,1
0.1125,553,0,1,1.0,1.0,1
0.11388888888888889,552,0,1,1.0,1.0,1
0.11527777777777778,551,0,1,1.0,1.0,1
0.11777777777777777,550,0,1,1.0,1.0,1
0.11861111111111111,549,0,1,1.0,1.0,1
0.11944444444444445,548,0,1,1.0,1.0,1
0.12,547,0,1,1.0,1.0,1
0.12083333333333333,546,0,1,1.0,1.0,1
0.12333333333333334,545,0,1,1.0,1.0,1
0.12694444444444444,544,0,1,1.0,1.0,1
0.1322222222222222,543,0,1,1.0,1.0,1
0.1338888888888889,542,0,1,1.0,1.0,1
0.13583333333333333,541,0,1,1.0,1.0,1
0.14222222222222222,540,0,1,1.0,1.0,1
0.14333333333333334,539,0,1,1.0,1.0,1
0.1436111111111111,538,0,1,1.0,1.0,1
0.14777777777777779,537,0,1,1.0,1.0,1
0.1525,536,0,1,1.0,1.0,1
0.15611111111111112,535,0,1,1.0,1.0,1
0.16194444444444445,534,0,1,1.0,1.0,1
0.16305555555555556,533,0,1,1.0,1.0,1
0.16944444444444445,532,0,1,1.0,1.0,1
0.17277777777777778,531,0,1,1.0,1.0,1
0.17833333333333334,530,0,1,1.0,1.0,1
0.18166666666666667,529,0,2,1.0,1.0,1
0.18388888888888888,527,0,1,1.0,1.0,1
0.1875,526,0,1,1.0,1.0,1
0.18777777777777777,525,0,1,1.0,1.0,1
0.19,524,0,1,1.0,1.0,1
0.1922222222222222,523,0,1,1.0,1.0,1
0.1986111111111111,522,0,1,1.0,1.0,1
0.20027777777777778,521,0,1,1.0,1.0,1
0.20694444444444443,520,0,1,1.0,1.0,1
0.2136111111111111,519,0,1,1.0,1.0,1
0.21805555555555556,518,0,1,1.0,1.0,1
0.21916666666666668,517,0,1,1.0,1.0,1
0.22361111111111112,516,0,1,1.0,1.0,1
0.2238888888888889,515,0,1,1.0,1.0,1
0.2288888888888889,514,0,1,1.0,1.0,1
0.23,513,0,1,1.0,1.0,1
0.2311111111111111,512,0,1,1.0,1.0,1
0.23666666666666666,511,0,1,1.0,1.0,1
0.24027777777777778,510,0,1,1.0,1.0,1
0.2452777777777778,509,0,1,1.0,1.0,1
0.24583333333333332,508,0,1,1.0,1.0,1
0.2563888888888889,507,0,1,1.0,1.0,1
0.25722222222222224,506,0,1,1.0,1.0,1
0.2575,505,0,1,1.0,1.0,1
0.2644444444444444,504,0,1,1.0,1.0,1
0.26472222222222225,503,0,1,1.0,1.0,1
0.265,502,0,1,1.0,1.0,1
0.27444444444444444,501,0,1,1.0,1.0,1
0.2752777777777778,500,0,1,1.0,1.0,1
0.2791666666666667,499,0,1,1.0,1.0,1
0.2802777777777778,498,0,1,1.0,1.0,1
0.2811111111111111,497,0,1,1.0,1.0,1
0.2886111111111111,496,0,1,1.0,1.0,1
0.29,495,0,1,1.0,1.0,1
0.29944444444444446,494,0,1,1.0,1.0,1
0.3005555555555556,493,0,1,1.0,1.0,1
0.3025,492,0,1,1.0,1.0,1
0.3038888888888889,491,0,1,1.0,1.0,1
0.30416666666666664,490,0,1,1.0,1.0,1
0.3080555555555556,489,0,1,1.0,1.0,1
0.30944444444444447,488,0,1,1.0,1.0,1
0.31416666666666665,487,0,1,1.0,1.0,1
0.31472222222222224,486,0,1,1.0,1.0,1
0.31666666666666665,485,0,1,1.0,1.0,1
0.3202777777777778,484,0,1,1.0,1.0,1
0.3233333333333333,483,0,1,1.0,1.0,1
0.32805555555555554,482,0,1,1.0,1.0,1
0.32861111111111113,481,0,1,1.0,1.0,1
0.32944444444444443,480,0,1,1.0,1.0,1
0.32972222222222225,479,0,1,1.0,1.0,1
0.3308333333333333,478,0,1,1.0,1.0,1
0.3313888888888889,477,0,1,1.0,1.0,1
0.3347222222222222,476,0,1,1.0,1.0,1
0.33666666666666667,475,0,1,1.0,1.0,1
0.3461111111111111,474,0,1,1.0,1.0,1
0.3491666666666667,473,0,1,1.0,1.0,1
0.3661111111111111,472,0,1,1.0,1.0,1
0.37916666666666665,471,0,1,1.0,1.0,1
0.39916666666666667,470,0,1,1.0,1.0,1
0.4013888888888889,469,0,1,1.0,1.0,1
0.4091666666666667,468,0,1,1.0,1.0,1
0.4097222222222222,467,0,1,1.0,1.0,1
0.41083333333333333,466,0,1,1.0,1.0,1
0.4113888888888889,465,0,1,1.0,1.0,1
0.4225,464,0,1,1.0,1.0,1
0.42277777777777775,463,0,1,1.0,1.0,1
0.42916666666666664,462,0,1,1.0,1.0,1
0.4305555555555556,461,0,1,1.0,1.0,1
0.43166666666666664,460,0,1,1.0,1.0,1
0.45166666666666666,459,0,1,1.0,1.0,1
0.4563888888888889,458,0,1,1.0,1.0,1
0.46305555555555555,457,0,1,1.0,1.0,1
0.46555555555555556,456,0,1,1.0,1.0,1
0.47944444444444445,455,0,1,1.0,1.0,1
0.48277777777777775,454,0,1,1.0,1.0,1
0.4886111111111111,453,0,1,1.0,1.0,1
0.49527777777777776,452,0,1,1.0,1.0,1
0.4975,451,0,1,1.0,1.0,1
0.4986111111111111,450,0,1,1.0,1.0,1
0.5044444444444445,449,0,1,1.0,1.0,1
0.5097222222222222,448,0,1,1.0,1.0,1
0.5113888888888889,447,0,1,1.0,1.0,1
0.5222222222222223,446,0,1,1.0,1.0,1
0.5233333333333333,445,0,1,1.0,1.0,1
0.5286111111111111,444,0,1,1.0,1.0,1
0.5288888888888889,443,0,1,1.0,1.0,1
0.5294444444444445,442,0,1,1.0,1.0,1
0.5338888888888889,441,0,1,1.0,1.0,1
0.5355555555555556,440,0,1,1.0,1.0,1
0.5388888888888889,439,0,2,1.0,1.0,1
0.545,437,0,1,1.0,1.0,1
0.5527777777777778,436,0,1,1.0,1.0,1
0.5555555555555556,435,0,1,1.0,1.0,1
0.5625,434,0,1,1.0,1.0,1
0.5644444444444444,433,0,1,1.0,1.0,1
0.5733333333333334,432,0,1,1.0,1.0,1
0.5755555555555556,431,0,1,1.0,1.0,1
