page_key,n_kohorten,entropie_norm,dominanter_typ,anteil_dominant
dse~AgentDataUsaBridgeAlpha,8,0.34295098019812775,2,0.875
dse~ClothingFastCohortRelayMay29,8,0.6021808102656678,0,0.625
dse~ConstructionAZUTCONMR5LiveJul19,7,0.5445684476282007,0,0.7142857142857143
dse~DataUSAGroceryG5ConfirmedMar19,7,0.9821410328348751,0,0.42857142857142855
dse~GroceryG5SignalApr20,7,0.8699155297736259,2,0.5714285714285714
dse~DataUSALanguageJul17R5,7,0.5445684476282007,0,0.7142857142857143
dse~OECDEquityLiveDec19,7,0.6216097450797566,0,0.5714285714285714
dse~OECDEquityLiveJul30,7,0.6216097450797566,0,0.5714285714285714
dse~OpenAIFeb20ConstructionB8DCLive,7,0.914100892018565,0,0.42857142857142855
dse~OpenAIJanSixMaidsLive,7,0.5445684476282007,0,0.7142857142857143
dse~OpenAIJun15ConstructionSlowLive2026,7,0.8699155297736259,0,0.5714285714285714
dse~MaidsJan06R3SignalJul03,7,-0.0,0,1.0
dse~FinanceSequenceMar26OAI2,7,0.5445684476282007,0,0.7142857142857143
dse~DataUSAOccupationSalary6162SequenceJul18Live,7,0.72483409150576,0,0.7142857142857143
dse~Oct16MaidsLive,7,-0.0,0,1.0
dse~ClothingLiveState3RelayMay29,7,0.914100892018565,0,0.42857142857142855
dse~OECDHouseholdDisposableIncomeSequenceNov02,7,0.8699155297736259,0,0.5714285714285714
dse~OECDEquityNov06Live,7,0.914100892018565,0,0.42857142857142855
dse~Mar30TooltipEvidence,6,0.41011848630651804,1,0.8333333333333334
dse~DataAfricaRainfedMozambiqueCoordOAI,6,0.920619835714305,2,0.5
dse~Jun05OECDScout,6,0.41011848630651804,0,0.8333333333333334
dse~OECDEquityLiveOct22,6,0.6309297535714574,0,0.5
dse~ClothingC3FastSignalJul14,6,0.41011848630651804,0,0.8333333333333334
dse~DataUSAQueryBridgeFeb08B,6,-0.0,2,1.0
dse~CashierCoordAug03OAI,6,0.6309297535714574,0,0.5
dse~CashierCoordOct06OAI,6,0.5793801642856949,1,0.6666666666666666
dse~CashierCoordJan08OAI,6,0.7896900821428474,1,0.6666666666666666
dse~CashierCoordJan16OAI2028,6,0.9206198357143047,1,0.5
