datensatz,mass,fenster_min,methode,n,r,p,ci_lo,ci_hi
streng_AB_fp,load_labels,60,pearson,26,-0.1900421077412948,0.3524313686430548,-0.4581739043692111,0.12792073836317217
streng_AB_fp|partiell_ldw,load_labels,60,spearman,26,-0.18974358974358974,0.35320235576237746,-0.570473197735999,0.23067006765353168
streng_AB_fp,load_ip,60,spearman,26,0.12773601002941898,0.5340397854171619,-0.36878198206867097,0.5660592487386886
streng_AB_fp,load_ip,60,pearson,26,-0.0065519886384167525,0.9746587597167282,-0.4959814220191432,0.518765002016823
streng_AB_fp|partiell_ldw,load_ip,60,spearman,26,0.05367521367521367,0.7945413142226203,-0.4090489364190794,0.5175960446431247
streng_AB_fp,load_events,60,spearman,26,0.11602974495933746,0.5724460779165945,-0.36973942887214917,0.5612581604449809
streng_AB_fp,load_events,60,pearson,26,-0.08273314275295565,0.6878308493034786,-0.47239537707995716,0.3594068356927091
streng_AB_fp|partiell_ldw,load_events,60,spearman,26,0.007179487179487179,0.9722326499002788,-0.4506243418270467,0.46352550151146243
robust_haelfte50,load_revs,5,spearman,36,0.11894954050277108,0.4895850522808741,-0.22918513240600547,0.42639572221943267
robust_haelfte50,load_revs,15,spearman,36,0.1408160650099999,0.4126882721322098,-0.2186566216343194,0.4541448091532389
robust_haelfte50,load_revs,60,spearman,36,0.18477983393606887,0.28064308352657635,-0.18073890716954585,0.5026845546028698
robust_minwall600,load_revs,5,spearman,55,0.25354450032733794,0.06179060981800716,-0.014362326215130969,0.5050552362764222
robust_minwall600,load_revs,15,spearman,55,0.2717728558918337,0.04473044969651223,0.009269701286412147,0.5294612551470063
robust_minwall600,load_revs,60,spearman,55,0.27406552457449873,0.042888974196224915,-0.003278840245870452,0.5364395870504689
robust_grenzen_0.01_200,load_revs,5,spearman,73,0.12999174662416557,0.273017876511121,-0.11419212565732992,0.35399292611400407
robust_grenzen_0.01_200,load_revs,15,spearman,73,0.15490350366013642,0.1906809883807899,-0.1005632845187727,0.37984591997270417
robust_grenzen_0.01_200,load_revs,60,spearman,73,0.1553808572641596,0.18930111762036766,-0.09972961979253253,0.3806553658556992
