praediktor,praediktor_name,teilmenge,variante,binaer,modell,effekt,ci_lo,ci_hi,p,se,n,n_fam,n_fam_true,n_true,n_boot_valid,grund,exakt,n_perm,mean_true,mean_false,q_bh
bitten_quote,Request rate,alle,basis,False,OLS_std_FE_HC1,-0.09633292510192167,-0.17279857650553004,-0.019867273698313273,0.013541512800194744,0.03901380433863055,510,21.0,35.0,,,,,,,,0.16249815360233694
bitten_quote,Request rate,alle,basis,False,OLS_std_FE_cluster,-0.09633292510192167,-0.19035220906851275,-0.002313641135330599,0.04462256536774461,0.04796990389017512,510,21.0,35.0,,,,,,,,0.1636160730150636
bitten_quote,Request rate,alle,basis,False,spearman,-0.13762571035476795,-0.22180270239680508,-0.05141260923418127,0.0018379787280673999,,510,,,,,,,,,,0.004594946820168499
zukunft_erhalten_n_b,Future answer received,alle,basis,True,OLS_std_FE_HC1,-0.15786263094526384,-0.7358530262512742,0.4201277643607465,0.592434277352393,0.29489847765832683,510,21.0,4.0,,,,,,,,0.8859893810335918
zukunft_erhalten_n_b,Future answer received,alle,basis,True,OLS_std_FE_cluster,-0.15786263094526384,-0.7596000243429227,0.443874762452395,0.6071218064335715,0.30701451564625,510,21.0,4.0,,,,,,,,0.8347924838461608
zukunft_erhalten_n_b,Future answer received,alle,basis,True,rankbiserial_boot,-0.25297619047619047,-0.71213232218667,0.1825891773960001,0.27143793117482273,,510,,,6.0,1995.0,,,,,,0.3422037059107965
zukunft_erhalten_n_b,Future answer received,alle,basis,True,rankbiserial_clusterboot,-0.25297619047619047,-0.6007721187300721,0.3429751440679864,0.27143793117482273,,510,,,6.0,1974.0,,,,,,0.3422037059107965
zukunft_erhalten_n_b,Future answer received,alle,basis,True,permutation_meandiff,-0.5634920634920633,-1.463,0.287,0.26984,,510,,,6.0,,,False,100000.0,2.8333333333333335,3.3968253968253967,0.26984
exp_runde_max_vor,Highest round visible on arrival,alle,basis,False,OLS_std_FE_HC1,0.06585316354977519,-0.009948550759110789,0.14165487785866115,0.08861866766661444,0.038675054698351724,510,21.0,35.0,,,,,,,,0.34073120020425995
exp_runde_max_vor,Highest round visible on arrival,alle,basis,False,OLS_std_FE_cluster,0.06585316354977519,-0.018944442087919663,0.15065076918747006,0.1279858185124227,0.043264879511341815,510,21.0,35.0,,,,,,,,0.2815688007273299
exp_runde_max_vor,Highest round visible on arrival,alle,basis,False,spearman,0.37208067784307186,0.2947765040536748,0.4445462665177718,3.4278196364814747e-18,,510,,,,,,,,,,1.7139098182407373e-17
exp_vorsprung_b,Answer ahead visible on arrival,alle,basis,True,OLS_std_FE_HC1,-0.12373499246408418,-0.2770013889665106,0.029531404038342285,0.1135770667347533,0.07819857798988769,510,21.0,28.0,,,,,,,,0.34073120020425995
exp_vorsprung_b,Answer ahead visible on arrival,alle,basis,True,OLS_std_FE_cluster,-0.12373499246408418,-0.24307225227541301,-0.004397732652755337,0.04213430374001465,0.06088747586825367,510,21.0,28.0,,,,,,,,0.1636160730150636
exp_vorsprung_b,Answer ahead visible on arrival,alle,basis,True,rankbiserial_boot,0.0807440218368447,-0.014332483611791466,0.1824103084826217,0.11396693939809979,,510,,,317.0,2000.0,,,,,,0.2659228585955662
exp_vorsprung_b,Answer ahead visible on arrival,alle,basis,True,rankbiserial_clusterboot,0.0807440218368447,-0.11170656799386414,0.23970535801038242,0.11396693939809979,,510,,,317.0,2000.0,,,,,,0.2659228585955662
log_kadenz_s,Cadence (log s),n_deltas>=5,basis,False,OLS_std_FE_HC1,0.007196730815526842,-0.25294602656265197,0.2673394881937057,0.9567586831313551,0.13272833553583216,65,4.0,19.0,,,,,,,,0.9567586831313551
log_kadenz_s,Cadence (log s),n_deltas>=5,basis,False,OLS_std_FE_cluster,0.007196730815526842,-0.3619820243457299,0.3763754859767836,0.9695223795262478,0.18835996889396525,65,4.0,19.0,,,,,,,,0.9695223795262478
