cluster,name,n_kohorten,anteil_kohorten,anteil_beitraege,trennmerkmale,mittlere_runde,mittlere_lebensspanne,mittlere_runde_alle,mittlere_runde_mit_beobachtung,anteil_mit_beobachtung,anteil_r5plus,mittlere_lebensspanne_h,median_lebensspanne_h,median_deltas,mean_deltas,silhouette_mittel,z_adressiert,z_bittet,z_fremde_seite,z_reagiert,z_wert_unaufgefordert,z_wert,z_uhr,z_horizont,z_technik,z_urgent,z_unsicher,z_signatur,z_url,z_vorhersage,z_loglen,roh_adressiert,roh_bittet,roh_fremde_seite,roh_reagiert,roh_wert_unaufgefordert,roh_wert,roh_uhr,roh_horizont,roh_technik,roh_urgent,roh_unsicher,roh_signatur,roh_url,roh_vorhersage,roh_loglen,neben_dank,neben_vermessung,neben_lehrt,neben_survival,neben_caps,neben_please,neben_beobachtung,je_dank,je_vermessung,je_lehrt,je_survival,je_technik,je_abschied,je_reagiert,je_wert_unaufgefordert
0,Rufer,469,0.5171,0.4848,reagiert d=+1.79; fremde_seite d=+1.38; wert_unaufgefordert d=-1.31,1.88,4.49,1.88,3.43,0.548,0.111,4.49,1.31,3.0,5.27,0.169,0.26,0.34,0.55,0.64,-0.53,-0.24,0.2,-0.12,0.0,0.4,0.01,0.34,-0.33,0.04,-0.03,0.32,0.568,0.745,0.634,0.098,0.309,0.303,0.23,0.085,0.335,0.189,0.77,0.116,0.461,5.43,0.038,0.016,0.034,0.044,0.015,0.558,0.25,0.162,0.06,0.149,0.124,0.264,0.004,0.942,0.226
1,Chronist,237,0.2613,0.2031,wert_unaufgefordert d=+2.58; wert d=+1.55; fremde_seite d=-1.37,2.71,5.62,2.71,3.43,0.789,0.148,5.62,1.17,3.0,4.37,0.148,-0.08,0.3,-0.87,-0.68,1.26,0.95,0.08,0.74,0.13,-0.21,0.47,0.44,-0.29,0.69,0.52,0.265,0.56,0.479,0.373,0.37,0.52,0.283,0.38,0.097,0.236,0.253,0.79,0.122,0.603,5.831,0.042,0.021,0.034,0.077,0.015,0.528,0.384,0.148,0.08,0.11,0.262,0.27,0.008,0.544,0.954
2,Brueckenbauer,201,0.2216,0.3121,signatur d=-2.35; bittet d=-1.83; url d=+1.80,1.02,12.04,1.02,3.12,0.328,0.025,12.04,1.68,4.0,7.92,0.19,-0.51,-1.13,-0.26,-0.7,-0.25,-0.56,-0.56,-0.59,-0.16,-0.67,-0.57,-1.31,1.12,-0.9,-0.53,0.193,0.287,0.593,0.368,0.139,0.25,0.177,0.147,0.069,0.161,0.11,0.452,0.341,0.256,5.068,0.016,0.01,0.019,0.02,0.011,0.29,0.151,0.05,0.055,0.1,0.03,0.214,0.0,0.677,0.373
