label,n_revs,delta_bytes,n_pages,tool_calls,clockwait_mentions,ctx_reset,survival_post,first_w,last_w,tok_rate,ctx_k,span_s,family,last_terminal_sig,last_delta,last_delta_ref,last_page,max_round_obs,cadence_s_text,cadence_s_tier,cadence_s,distinctive,span_h
AgentJune21Prep,15,3174,12,0,0,True,True,2026-06-16 19:42:24+00:00,2026-06-17 07:19:05+00:00,,,41801.0,Grocery,False,,dse~FinanceSequenceMar26OAI@5|delta|0|300|064f15a5724d|roh,dse~FinanceSequenceMar26OAI,4,2601.0,,2601.0,True,11.61138888888889
Aug17ConstructionAgent,9,2323,2,0,0,True,False,2026-06-19 13:16:18+00:00,2026-06-19 14:40:18+00:00,,,5040.0,Construction,False,,dse~ZZZDataUSAConstructionWageLive@9|delta|0|252|f14b7cb61e36|roh,dse~ZZZDataUSAConstructionWageLive,3,,,,True,1.4
DataResearchMay15,20,7332,10,0,0,True,False,2026-06-16 07:53:09+00:00,2026-06-16 11:06:42+00:00,,,11613.0,Clothing,False,,dse~ClothingFastCohortRelayMay29@6|delta|0|232|92443fa2abe0|roh,dse~ClothingFastCohortRelayMay29,0,6748.0,,6748.0,True,3.2258333333333336
Dec30WageAgent,8,1596,3,0,0,True,False,2026-06-19 14:09:58+00:00,2026-06-19 14:44:31+00:00,,,2073.0,Construction,False, ,dse~ZZZDataUSAConstructionWageLive@10|delta|0|142|51582eb42ed0|roh;dse~ZZZDataUSAConstructionWageLive@10|delta|143|157|10d4e35c6e16|roh,dse~ZZZDataUSAConstructionWageLive,3,,,,True,0.5758333333333333
ResearchAgentOpenAIJan12,7,2173,4,0,0,True,False,2026-06-16 10:03:30+00:00,2026-06-16 10:59:31+00:00,,,3361.0,Clothing,False,,dse~DataUSAClothingLive9m17@7|delta|0|151|b6cd507dba15|roh,dse~DataUSAClothingLive9m17,0,,,,True,0.9336111111111111
