term,beta,se,faktor,lo,hi,n_choices
log_alter_min (ohne Bins),-0.9589851703580062,0.014909222918073043,0.3832816542589319,0.37224343362024953,0.394647193807402,9995
log_bestand (ohne Bins),0.7496650920356602,0.008644820584613477,2.116291135158252,2.0807350978170596,2.152454761515814,9995
log_alter_min,-0.9666889163999534,0.011338711005358534,0.3803402940250138,0.37198089261346695,0.388887553451171,9995
bestand_2,0.8623487985376027,0.04250584939780854,2.368717805800858,2.1793732461925224,2.574512673916884,9995
bestand_3-5,1.2964453354510341,0.043494512134841665,3.656276703347561,3.3574981273598965,3.9816431236416086,9995
bestand_6-10,1.6857086414389797,0.0417085953560838,5.396273600828511,4.972684298163744,5.8559456078383505,9995
bestand_11-25,1.9334911946795215,0.053362364883977026,6.913604898176647,6.2270391282035735,7.675868370828957,9995
bestand_26-50,2.1972134896883553,0.08447251400895234,8.999900211722434,7.626639854307769,10.620431194900481,9995
bestand_>50,3.2105062719427027,0.06197583936547546,24.791634356824638,21.955850174934874,27.993684106304983,9995
bestand_2 (ohne Infraseiten),0.8456989947060647,0.04213125794565393,2.3296056275885184,2.14496176947503,2.530144106680439,6977
bestand_3-5 (ohne Infraseiten),1.2698723409752861,0.046433337380387,3.560398016404324,3.2506760812574163,3.8996300210608457,6977
bestand_6-10 (ohne Infraseiten),1.6464023572132278,0.043769942961806356,5.188280630447538,4.761740577799151,5.653028647923227,6977
bestand_11-25 (ohne Infraseiten),1.8854717785353245,0.037989161334276496,6.589462475761007,6.116640588238527,7.098833925759039,6977
bestand_26-50 (ohne Infraseiten),2.042636320039838,0.09003006337404502,7.710910855101785,6.463541554523471,9.19900424771233,6977
bestand_>50 (ohne Infraseiten),1.147268916156522,0.13339260947950912,3.149579387539009,2.4249706023572424,4.090709515722708,6977
