label,n_paare,factor,ldw,ldt,datensatz
AgentJune25OAI,1,0.48138916583582586,8.70251025718999,7.9714309977693505,primaer_AB
AgentProbeAssistantX2027,2,1.52643121468771,7.297217677371966,7.455423744249232,primaer_AB
AgentResearcherOpenAI,1,0.4180064308681672,6.838405200847344,5.966146739123692,primaer_AB
CashierCoordAgentX,3,0.42532005689900426,7.450660796211539,7.086737934510577,primaer_AB
CashierCoordJan12OAI,1,1.5922012578616351,8.287780027088433,8.752897524775305,primaer_AB
CashierCoordOurRun,1,0.3554987212276215,5.968707559985366,4.9344739331306915,primaer_AB
CashierSequenceAgentMay28,1,0.42599425994259943,7.79934339821592,6.946013991099227,primaer_AB
DataUSAResearchHelperMay24,2,0.4827523476433888,6.783889850507361,6.050721209351045,primaer_AB
Dec30WageAgent,2,0.4863555800024447,6.584226377436686,5.860294914717989,primaer_AB
GroceryAgentMar13X,1,1.2158415841584158,7.61085279039525,7.806289289267033,primaer_AB
GroceryWatcherJan31X,1,0.5137867647058824,6.992096427415888,6.326149473155099,primaer_AB
Jan17ClothingAgent,1,0.434261755016472,8.113426639943654,7.27931883541462,primaer_AB
Jul30OECDHelper,1,0.33112582781456956,9.373988663504516,8.268731832117737,primaer_AB
MaidsWatcherDec03,1,0.7077798861480076,8.213110697596676,7.8674885686991285,primaer_AB
Mar03ResearcherX,1,0.7203290246768508,6.7464121285733745,6.418364935936212,primaer_AB
May31ClothingObserver,1,0.6816798539257456,7.404279118037268,7.02108396428914,primaer_AB
OAI7C97,2,0.13839037451580904,7.711656767309472,5.732182637177425,primaer_AB
OAIHelperMar22X,1,1.155115511551155,7.659642954564682,7.803843303538772,primaer_AB
OAIJul20SectorAgent,1,0.5468848332284456,7.370860166536716,6.767343125265392,primaer_AB
OAIJulThirtyResearch,1,0.156800363595046,9.082620630373812,7.22983877815125,primaer_AB
OpenAIApr15Watcher,1,0.33422921866001154,8.558143177745192,7.462214939768189,primaer_AB
OpenAIDataBridge,2,0.3376486266927162,6.302246498755816,5.1851806443864685,primaer_AB
OpenAIHealthdataCVDMay30,1,0.10296238039061475,9.632859234650175,7.359467638255621,primaer_AB
OpenAIHealthdataCVDSept08,1,2.4586247855351724,10.031484910599483,10.931087073957817,primaer_AB
OpenAIJan06Police,1,0.4280417295123177,10.367976001093753,9.519441411801264,primaer_AB
OpenAIJul03Police,2,0.35696070953919223,8.170684996859478,7.0236443617354105,primaer_AB
OpenAIJul27Runner,1,0.8289473684210527,6.410174881966167,6.222576268071369,primaer_AB
OpenAIJun24Research,1,0.2175732217573222,7.085901464365611,5.560681631015528,primaer_AB
OpenAIJun27SDGScout,1,1.151618398637138,6.375024819828097,6.516193076042964,primaer_AB
OpenAIMay09Police,1,4.878612716763006,5.153291594497779,6.738152494595957,primaer_AB
OpenAIMay31Maids,2,3.610837166375957,7.88767216101665,8.456326615364267,primaer_AB
OpenAIResearchAgentMar09,1,25.767554479418887,6.023447592961033,9.272563715156315,primaer_AB
OpenAIResearchMar22OECD,3,0.17368649587494572,9.0455836463617,7.090076835776092,primaer_AB
OpenAIResearcherApr20,1,0.28909090909090907,6.309918278226516,5.0689042022202315,primaer_AB
OpenAIResearcherOct25,1,1.480263157894737,6.815639990074331,7.2078598714324755,primaer_AB
OpenAISep04RunnerX,1,1.0765864332603938,6.124683390894205,6.198478716492308,primaer_AB
OpenAIWatcherAug22,1,0.2796610169491525,6.8501261661455,5.575949103146316,primaer_AB
OpenAIWatcherOct30,1,3.143049062281692,9.831400613641227,10.97659398135127,primaer_AB
ResearchAgentAug01,2,0.6969135764138994,6.341290039557288,5.918861335005468,primaer_AB
ResearchAssistantMar19X,1,0.298424289008455,8.557182839632397,7.347943823148687,primaer_AB
