praediktor,praediktor_name,teilmenge,modell,schwelle,effekt,ci_lo,ci_hi,p,se,n,konvergiert,n_pos,n_fam_dropped,quasi_separation,spannweite,max_wald_z,po_verletzt,q_bh
log_kadenz_s,Cadence (log s),alle,ordered_logit_FE,alle,-0.23728749997550294,-0.6967814670787285,0.22220646712772255,0.31146827893595685,0.2344400053917599,99,True,,,False,0.40577395589486576,1.0113448151503037,False,0.7475238694462965
log_kadenz_s,Cadence (log s),alle,logit_threshold_FE,>=3,0.03129643938735213,-0.5488670548335363,0.6114599336082406,0.915797660616855,0.296007221967926,86,True,64.0,2.0,False,0.40577395589486576,1.0113448151503037,False,0.9179905088752921
log_kadenz_s,Cadence (log s),alle,logit_threshold_FE,>=4,-0.37447751650751365,-0.9053309663553086,0.15637593334028127,0.16678496830527179,0.2708485737672219,93,True,45.0,1.0,False,0.40577395589486576,1.0113448151503037,False,0.4002839239326523
log_kadenz_s,Cadence (log s),alle,logit_threshold_FE,>=5,-0.014562243592634885,-0.9534050217059011,0.9242805345206313,0.9757474905618572,0.4790102193299154,70,True,19.0,4.0,False,0.40577395589486576,1.0113448151503037,False,0.9757474905618572
log_r1_frist_s,Initial deadline (log s),alle,ordered_logit_FE,alle,-0.1903216896314271,-0.6579784073678107,0.27733502810495647,0.42507700768804746,0.23860475061031738,68,True,,,False,0.6076650475407736,0.9456137496946547,False,0.8501540153760949
log_r1_frist_s,Initial deadline (log s),alle,logit_threshold_FE,>=3,-0.5594959537833573,-1.3504358545429795,0.2314439469762649,0.1656121253656071,0.40354818098620954,63,True,47.0,1.0,False,0.6076650475407736,0.9456137496946547,False,0.7023131494737265
log_r1_frist_s,Initial deadline (log s),alle,logit_threshold_FE,>=4,-0.21990968394763794,-0.9305643488552622,0.49074498095998637,0.5441799742562183,0.3625855732621506,63,True,29.0,1.0,False,0.6076650475407736,0.9456137496946547,False,0.8122916670381805
log_r1_frist_s,Initial deadline (log s),alle,logit_threshold_FE,>=5,0.04816909375741628,-0.932013148119227,1.0283513356340594,0.923267613929615,0.5001021700440395,35,True,11.0,3.0,False,0.6076650475407736,0.9456137496946547,False,0.9757474905618572
log_folgefrist_s,Answer deadline (log s),alle,ordered_logit_FE,alle,0.014759510722039416,-0.3132183366865412,0.34273735813062,0.9297165945981695,0.16733871132103856,217,True,,,False,0.5832597220902274,0.6969209746642084,False,0.9898192646104994
log_folgefrist_s,Answer deadline (log s),alle,logit_threshold_FE,>=2,0.4766098001120357,-1.7954728397110107,2.748692439935082,0.680971821591833,1.15924713808261,59,True,55.0,13.0,False,0.5832597220902274,0.6969209746642084,False,0.955901313313812
log_folgefrist_s,Answer deadline (log s),alle,logit_threshold_FE,>=3,0.09343949764844495,-0.3530279424020915,0.5399069376989813,0.6816639951118763,0.22779369599248492,186,True,119.0,4.0,False,0.5832597220902274,0.6969209746642084,False,0.9017341548902477
log_folgefrist_s,Answer deadline (log s),alle,logit_threshold_FE,>=4,-0.1066499219781917,-0.515559392787981,0.30225954883159756,0.6092187502786354,0.20863111467109346,202,True,83.0,2.0,False,0.5832597220902274,0.6969209746642084,False,0.8122916670381805
log_folgefrist_s,Answer deadline (log s),alle,logit_threshold_FE,>=5,0.15641523675241803,-0.46013262481768974,0.7729630983225257,0.6190244237052477,0.3145710158111877,128,True,22.0,8.0,False,0.5832597220902274,0.6969209746642084,False,0.7958885447638898
clock_wait_b,\texttt{clock.wait} used,alle,ordered_logit_FE,alle,0.04058897057428662,-0.41545981288319933,0.49663775403177257,0.8615200758354942,0.23268222633412686,510,True,,,False,0.4327859798394567,0.4942808682797313,False,0.9898192646104994
clock_wait_b,\texttt{clock.wait} used,alle,logit_threshold_FE,>=2,-0.10953691929620181,-1.5447026807579403,1.3256288421655364,0.8810870149100427,0.7322408844152969,256,True,239.0,14.0,False,0.4327859798394567,0.4942808682797313,False,0.955901313313812
clock_wait_b,\texttt{clock.wait} used,alle,logit_threshold_FE,>=3,0.28314787050265533,-0.3918355000632464,0.9581312410685571,0.4109729415010671,0.34438559886308345,496,True,369.0,2.0,False,0.4327859798394567,0.4942808682797313,False,0.8219458830021342
clock_wait_b,\texttt{clock.wait} used,alle,logit_threshold_FE,>=4,0.04510195679995755,-0.6147326661648047,0.7049365797647198,0.8934260975170212,0.336656503981427,476,True,244.0,3.0,False,0.4327859798394567,0.4942808682797313,False,0.8934260975170212
clock_wait_b,\texttt{clock.wait} used,alle,logit_threshold_FE,>=5,0.3232490605432549,-0.6732401898378428,1.3197383109243528,0.5249142114199388,0.508422225225197,384,True,92.0,9.0,False,0.4327859798394567,0.4942808682797313,False,0.7873713171299082
counterapi_b,\texttt{counterapi} used,alle,ordered_logit_FE,alle,0.49558188813988646,-0.019101420503030875,1.0102651967828038,0.05913021409231111,0.26259835012412147,510,True,,,False,0.44773875210739505,0.4864102377073564,False,0.3547812845538667
counterapi_b,\texttt{counterapi} used,alle,logit_threshold_FE,>=2,0.3093601107304222,-1.3169349400050112,1.9356551614658557,0.7092735583991929,0.829757619815181,256,True,239.0,14.0,False,0.44773875210739505,0.4864102377073564,False,0.955901313313812
counterapi_b,\texttt{counterapi} used,alle,logit_threshold_FE,>=3,0.7570988628378172,-0.023979265680338813,1.5381769913559733,0.057460333137352056,0.39851657207948754,496,True,369.0,2.0,False,0.44773875210739505,0.4864102377073564,False,0.6895239976482247
counterapi_b,\texttt{counterapi} used,alle,logit_threshold_FE,>=4,0.5293458051293762,-0.20306824184922223,1.2617598521079747,0.15661549642126626,0.3736875028091266,476,True,244.0,3.0,False,0.44773875210739505,0.4864102377073564,False,0.4002839239326523
counterapi_b,\texttt{counterapi} used,alle,logit_threshold_FE,>=5,0.7562653934884389,-0.22383826806340923,1.736369055040287,0.13044662160195075,0.5000620773048795,384,True,92.0,9.0,False,0.44773875210739505,0.4864102377073564,False,0.3348743909344923
umleitung_b,Redirect services,alle,ordered_logit_FE,alle,-0.11202096308778486,-1.6042867451416605,1.3802448189660907,0.8830294169746594,0.7613740833120801,510,True,,,False,0.5896351355746126,0.43128652909042786,False,0.9898192646104994
umleitung_b,Redirect services,alle,logit_threshold_FE,>=2,,,,,102.65422061142566,256,True,239.0,14.0,True,0.5896351355746126,0.43128652909042786,False,
umleitung_b,Redirect services,alle,logit_threshold_FE,>=3,-0.4609630864033818,-2.4327440884323357,1.5108179156255723,0.6468083983209889,1.0060292013435508,496,True,369.0,2.0,False,0.5896351355746126,0.43128652909042786,False,0.9017341548902477
umleitung_b,Redirect services,alle,logit_threshold_FE,>=4,0.1286720491712308,-1.68576720017505,1.9431112985175116,0.8894564524488987,0.9257513217887401,476,True,244.0,3.0,False,0.5896351355746126,0.43128652909042786,False,0.8934260975170212
umleitung_b,Redirect services,alle,logit_threshold_FE,>=5,,,,,141.15883296755408,384,True,92.0,9.0,True,0.5896351355746126,0.43128652909042786,False,
blob_ausbruch_b,Blob egress,alle,ordered_logit_FE,alle,-0.04189861048925656,-1.4251661288008126,1.3413689078222997,0.9526601856435859,0.7057617023693261,510,True,,,False,2.4119757940302016,1.8087270272727267,False,0.9898192646104994
blob_ausbruch_b,Blob egress,alle,logit_threshold_FE,>=2,-0.9308139889691684,-3.3631910538174887,1.5015630758791518,0.453235120215551,1.2410315108005048,256,True,239.0,14.0,False,2.4119757940302016,1.8087270272727267,False,0.955901313313812
blob_ausbruch_b,Blob egress,alle,logit_threshold_FE,>=3,-0.823784697060482,-2.328025131696883,0.6804557375759192,0.28311057107802073,0.7674837122016822,496,True,369.0,2.0,False,2.4119757940302016,1.8087270272727267,False,0.7023131494737265
blob_ausbruch_b,Blob egress,alle,logit_threshold_FE,>=4,1.4811618050610333,-0.5127390734576189,3.4750626835796856,0.14540591399710545,1.017315059994106,476,True,244.0,3.0,False,2.4119757940302016,1.8087270272727267,False,0.4002839239326523
blob_ausbruch_b,Blob egress,alle,logit_threshold_FE,>=5,,,,,749.6469049235059,384,True,92.0,9.0,True,2.4119757940302016,1.8087270272727267,False,
beobachtung_auf_fremder_seite_b,Observation on foreign page,alle,ordered_logit_FE,alle,0.0026106561183616645,-0.398391665595372,0.40361297783209527,0.9898192646104994,0.20459678079637625,510,True,,,False,0.9382820989813703,1.4323863959340442,False,0.9898192646104994
beobachtung_auf_fremder_seite_b,Observation on foreign page,alle,logit_threshold_FE,>=2,0.751472433912336,-0.41301295215965994,1.915957819984332,0.2059375537808935,0.5941361143660333,256,True,239.0,14.0,False,0.9382820989813703,1.4323863959340442,False,0.9267189920140209
beobachtung_auf_fremder_seite_b,Observation on foreign page,alle,logit_threshold_FE,>=3,-0.028886559924651813,-0.5787476833537671,0.5209745635044635,0.9179905088752921,0.28054654461324274,496,True,369.0,2.0,False,0.9382820989813703,1.4323863959340442,False,0.9179905088752921
beobachtung_auf_fremder_seite_b,Observation on foreign page,alle,logit_threshold_FE,>=4,-0.1868096650690343,-0.7274556788692847,0.35383634873121617,0.49826177803522065,0.27584487167356,476,True,244.0,3.0,False,0.9382820989813703,1.4323863959340442,False,0.8122916670381805
