term,coef,se,t,p,datensatz,fenster_min,r2
const,0.04336401175339197,1.080653230827689,0.040127591827194,0.9679914044154603,primaer_AB,5,0.04174618988258172
log_last_revs,-0.0282357242585598,0.16028437082210606,-0.17616018401380898,0.8601681001149977,primaer_AB,5,0.04174618988258172
sin_h,-0.288346292843208,0.3083707618490199,-0.9350636588055777,0.3497554936685514,primaer_AB,5,0.04174618988258172
cos_h,0.07912861612520745,0.23823102780849653,0.3321507565706994,0.7397754253718443,primaer_AB,5,0.04174618988258172
log_dwall,-0.07265766128137893,0.12220201339252398,-0.5945700832931117,0.5521308826334512,primaer_AB,5,0.04174618988258172
const,-0.2680073037393101,1.1859323362716172,-0.22598869728258061,0.8212102112104318,primaer_AB,15,0.04278666657116026
log_last_revs,0.05326470775946693,0.14686260027749334,0.3626839485262044,0.7168409916814737,primaer_AB,15,0.04278666657116026
sin_h,-0.18845575380005636,0.27771553516564196,-0.6785927682715082,0.4973959262438743,primaer_AB,15,0.04278666657116026
cos_h,0.08181757169355253,0.23177747696109008,0.35300052777469726,0.7240880448680262,primaer_AB,15,0.04278666657116026
log_dwall,-0.06631781765383796,0.12287137265627256,-0.539733676121282,0.5893807121720398,primaer_AB,15,0.04278666657116026
const,-0.3616667593564743,1.3817528716087915,-0.261744894320633,0.7935181261031916,primaer_AB,60,0.04322907102252549
log_last_revs,0.06039659714567806,0.16363183220512745,0.3691005370517725,0.7120527886597641,primaer_AB,60,0.04322907102252549
sin_h,-0.1770137641381947,0.2916742308885959,-0.6068885948508923,0.5439248475231557,primaer_AB,60,0.04322907102252549
cos_h,0.08395322893964645,0.23023905903472527,0.36463504190652724,0.7153838535636123,primaer_AB,60,0.04322907102252549
log_dwall,-0.06773659678413685,0.12239511613600396,-0.5534256506515242,0.5799719785563475,primaer_AB,60,0.04322907102252549
const,3.161772320499572,0.5392008153651231,5.863812202061598,4.523590835248115e-09,mit_Ereignissen_ABC,5,0.21673526915359087
log_last_revs,0.08221616178582755,0.09607036957585025,0.8557910430532444,0.3921133704697439,mit_Ereignissen_ABC,5,0.21673526915359087
sin_h,0.15864495344531057,0.13692494422880824,1.1586271174973577,0.24660821044077275,mit_Ereignissen_ABC,5,0.21673526915359087
cos_h,0.31190118420366036,0.10570312111809982,2.9507282368245296,0.003170257214149652,mit_Ereignissen_ABC,5,0.21673526915359087
log_dwall,-0.4250094954233926,0.05089674979745844,-8.350425068687112,0.0,mit_Ereignissen_ABC,5,0.21673526915359087
const,3.042949274348721,0.6104877430526894,4.98445596816199,6.213639336394294e-07,mit_Ereignissen_ABC,15,0.2174881269863569
log_last_revs,0.08613653091958055,0.09249941733571684,0.9312116054413309,0.3517441157841379,mit_Ereignissen_ABC,15,0.2174881269863569
sin_h,0.16347390284683286,0.13696970046489196,1.1935041274966827,0.23267199663965354,mit_Ereignissen_ABC,15,0.2174881269863569
cos_h,0.3066499644351951,0.10612926491446102,2.889400625570633,0.0038597698153077786,mit_Ereignissen_ABC,15,0.2174881269863569
log_dwall,-0.4219028534306424,0.05143912054325024,-8.201984189755045,2.220446049250313e-16,mit_Ereignissen_ABC,15,0.2174881269863569
const,3.0295188723030373,0.6880905261828291,4.402791140155996,1.0686703617812654e-05,mit_Ereignissen_ABC,60,0.2167611225362972
log_last_revs,0.07357139955692944,0.09206265870674069,0.7991448497189954,0.42420642624750227,mit_Ereignissen_ABC,60,0.2167611225362972
sin_h,0.1523208543628539,0.1373105108788157,1.1093167841847567,0.26729354697344565,mit_Ereignissen_ABC,60,0.2167611225362972
cos_h,0.30988502873917556,0.10650939888075106,2.909461812718761,0.003620516141564778,mit_Ereignissen_ABC,60,0.2167611225362972
log_dwall,-0.4270580998751462,0.05049785193590255,-8.456955761548341,0.0,mit_Ereignissen_ABC,60,0.2167611225362972
