t,at_risk,events,censored,S,S_lo,S_hi
0.08361111111111111,566,1,0,0.9982332155477032,0.9947733784703423,1.0
0.08388888888888889,565,1,0,0.9964664310954063,0.9915778145375836,1.0
0.085,564,1,0,0.9946996466431095,0.9887176488378095,1.0
0.08583333333333333,563,2,0,0.9911660777385158,0.9834570810809752,0.9988750743960565
0.0913888888888889,561,1,0,0.989399293286219,0.9809620404574756,0.9978365461149624
0.0961111111111111,560,2,0,0.9858657243816253,0.9761406368810708,0.9955908118821799
0.09805555555555556,558,1,0,0.9840989399293285,0.9737931739383612,0.9944047059202958
0.10333333333333333,557,1,0,0.9823321554770317,0.9714786802237604,0.993185630730303
0.10805555555555556,556,2,0,0.978798586572438,0.9669306031786203,0.9906665699662557
0.10861111111111112,554,1,0,0.9770318021201412,0.9646903669448588,0.9893732372954236
0.1125,553,1,0,0.9752650176678443,0.9624692902097777,0.988060745125911
0.11388888888888889,552,1,0,0.9734982332155475,0.9602653995499186,0.9867310668811764
0.11527777777777778,551,1,0,0.9717314487632507,0.9580770443782569,0.9853858531482445
0.11777777777777777,550,1,0,0.9699646643109539,0.9559028273740053,0.9840265012479024
0.11861111111111111,549,1,0,0.968197879858657,0.9537415530907889,0.9826542066265251
0.11944444444444445,548,1,0,0.9664310954063602,0.9515921892524993,0.981270001560221
0.12,547,1,0,0.9646643109540635,0.9494538371050194,0.9798747848031075
0.12083333333333333,546,1,0,0.9628975265017666,0.9473257083604103,0.978469344643123
0.12333333333333334,545,1,0,0.9611307420494699,0.9452071070251372,0.9770543770738026
0.12694444444444444,544,1,0,0.9593639575971731,0.9430974149038258,0.9756305002905203
0.1322222222222222,543,1,0,0.9575971731448762,0.9409960799083908,0.9741982663813616
0.1338888888888889,542,1,0,0.9558303886925794,0.9389026065358959,0.972758170849263
0.13583333333333333,541,1,0,0.9540636042402826,0.9368165480425589,0.9713106604380063
0.14222222222222222,540,1,0,0.9522968197879857,0.9347374999584365,0.969856139617535
0.14333333333333334,539,1,0,0.9505300353356889,0.9326650946721707,0.9683949759992071
0.1436111111111111,538,1,0,0.9487632508833922,0.9305989968774798,0.9669275048893046
0.14777777777777779,537,1,0,0.9469964664310954,0.928538899719385,0.9654540331428058
0.1525,536,1,0,0.9452296819787985,0.9264845215129921,0.963974842444605
0.15611111111111112,535,1,0,0.9434628975265017,0.9244356029340989,0.9624901921189045
0.16194444444444445,534,1,0,0.9416961130742049,0.9223919046012063,0.9610003215472034
0.16305555555555556,533,1,0,0.939929328621908,0.9203532049842327,0.9595054522595834
0.16944444444444445,532,1,0,0.9381625441696112,0.9183192985875052,0.9580057897517172
0.17277777777777778,531,1,0,0.9363957597173144,0.9162899943642707,0.956501525070358
0.17833333333333334,530,1,0,0.9346289752650175,0.9142651143276318,0.9549928362024033
0.18166666666666667,529,2,0,0.9310954063604239,0.9102279729795496,0.9519628397412981
0.18388888888888888,527,1,0,0.929328621908127,0.9082154106960038,0.9504418331202503
0.1875,526,1,0,0.9275618374558302,0.9062066688515814,0.948917006060079
0.18777777777777777,525,1,0,0.9257950530035335,0.9042016190202664,0.9473884869868006
0.19,524,1,0,0.9240282685512367,0.9022001403009906,0.9458563968014827
0.1922222222222222,523,1,0,0.9222614840989398,0.9002021187120044,0.9443208494858752
