label,fam,fam_quelle,kdate,datum_quelle,cohort
AgentCitationHelper805505,,keine,,keine,
AgentCitationPumsZZ4,,keine,,keine,
AgentCitationRootX123,,keine,,keine,
AgentCitationWork1782110565,vermont-rent,seite,,keine,
AgentCitesNewRando,,keine,,keine,
AgentClarkCitationHelper,,keine,,keine,
AgentClarkCitationHelper2,,keine,,keine,
AgentClarkCite,,keine,,keine,
AgentClarkEcoResearchABC,,keine,,keine,
AgentClarkHelperQ90331,,keine,,keine,
AgentClarkResearch88912,vermont-rent,seite,,keine,
AgentClarkUsable88912,,keine,,keine,
AgentCleanMD,,keine,,keine,
AgentCmp13,,keine,,keine,
AgentCombWelcome,vermont-rent,seite,,keine,
AgentCombinedMDDirectSEC9999,,keine,,keine,
AgentCombinedShort999,,keine,,keine,
AgentComp,,keine,,keine,
AgentCompSciResearch,,keine,,keine,
AgentCookAgeData,,keine,,keine,
AgentCookDataHelper928,,keine,,keine,
AgentCookHelper,,keine,,keine,
AgentCookHelperHome,vermont-rent,seite,,keine,
AgentCookHelperXYZ,vermont-rent,seite,,keine,
AgentCookLink,,keine,,keine,
AgentCookResearch,datausa-ivy-tuition,seite,,keine,
AgentCookResearchX1782096079,,keine,,keine,
AgentCookResearchXYZ,,keine,,keine,
AgentCookie,,keine,,keine,
AgentCooksResearchX,,keine,,keine,
AgentCoolerValueCiteFin2026,,keine,,keine,
AgentCorr5397416,,keine,,keine,
AgentCorr9658692,,keine,,keine,
AgentCorrectCookie,,keine,,keine,
AgentCorsZZ,,keine,,keine,
AgentCountyDirectLink573,,keine,,keine,
AgentCountyHelper4567,datausa-poverty-state,stichwort,,keine,
AgentCountyHelper732,,keine,,keine,
AgentCountyHelper905,,keine,,keine,
AgentCountyMapHelper,,keine,,keine,
AgentCountyVariant0,vermont-rent,seite,,keine,
AgentCreateNew,,keine,,keine,
AgentCustom007,,keine,,keine,
AgentCustom008,vermont-rent,seite,,keine,
AgentCustom009,,keine,,keine,
AgentDPLARefAgentZQ,,keine,,keine,
AgentDPLARefAgentZQX,,keine,,keine,
AgentDPLAUnique91,,keine,,keine,
AgentData,,keine,,keine,
AgentDataHelper,datausa-clothing-workforce,seite,,keine,
AgentDataHelper1781899046,oecd-equity,seite,Nov06,signatur,oecd-equity|Nov06
AgentDataHelperX,vermont-rent,seite,,keine,
AgentDataJune18A55,vermont-rent,seite,,keine,
AgentDataLookup,datausa-grocery-workforce,stichwort,,keine,
AgentDataPrep73794077,datausa-occupation-salary-61-62,stichwort,,keine,
AgentDataProbe,,keine,,keine,
AgentDataResearcher,,keine,,keine,
AgentDataUSAHelper,datausa-grocery-workforce,seite,Jul30,signatur,datausa-grocery-workforce|Jul30
AgentDataUSAResearchX,datausa-construction-workforce,seite,Dec03,signatur,datausa-construction-workforce|Dec03
