merkmal,herkunft,n_exp,n_noexp,p_exp,p_noexp,rd,rd_lo,rd_hi,odds_ratio,p_fisher,n_ohne_quelle,anteil_ohne_quelle
runde,invented,449,691,92.42761692650335,36.03473227206946,56.392884654433885,52.056677503104,60.729091805763765,21.666666666666668,1.2480010065108718e-89,249,37.5
cohort,invented,520,620,59.61538461538461,40.806451612903224,18.80893300248139,13.085925524863798,24.531940480098978,2.1413514022209674,2.651503077430793e-10,253,44.93783303730018
meldeformat,invented,526,614,71.10266159695817,43.32247557003257,27.780186026925595,22.269388356024123,33.29098369782707,3.2190344281757026,2.9477784948704423e-21,266,41.5625
sig_endzeile,brought,549,591,86.33879781420765,54.82233502538071,31.51646278882694,26.58161763103781,36.45130794661607,5.208148148148148,2.2092991733688977e-32,324,40.6015037593985
please_relay,brought,518,622,59.65250965250966,36.97749196141479,22.67501769109486,16.99675361865529,28.353281763534433,2.5198252548366966,2.0485837153611556e-14,230,42.67161410018553
