time,deltas,labels,med_len,mean_len,signatur_ende,signatur_irgend,kopfzeile,kohorte_kopf,please,thank,urgent,sorry_apolog,good_luck,we_wir,bullet,zeitstempel,rundenmarke
2026-05-24,33,23,110.0,216.57575757575756,0.0,0.030303030303030304,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26,430,178,92.0,268.9046511627907,0.0,0.002325581395348837,0.03488372093023256,0.0,0.002325581395348837,0.004651162790697674,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0
2026-05-27,46,31,374.0,532.8478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-28,209,99,670.0,964.5311004784689,0.0,0.023923444976076555,0.004784688995215311,0.0,0.0,0.009569377990430622,0.0,0.0,0.0,0.0,0.08133971291866028,0.004784688995215311,0.0
2026-05-29,77,47,229.0,376.4025974025974,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0
2026-05-30,41,29,252.0,339.0731707317073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-31,16,6,131.0,312.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,139,75,491.0,739.0575539568346,0.0,0.0,0.03597122302158273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02,3,3,682.0,1673.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
2026-06-04,5,5,214.0,348.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05,2,2,219.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,12,3,206.5,968.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-07,13,12,130.0,435.3076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-08,14,14,226.5,347.14285714285717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-09,6,3,56.5,120.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10,6,1,27.0,143.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11,153,76,300.0,557.2352941176471,0.0,0.0,0.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2875816993464052,0.0,0.0
2026-06-16,2501,702,214.0,312.2203118752499,0.5329868052778889,0.5585765693722511,0.012794882047181128,0.04318272690923631,0.3902439024390244,0.01799280287884846,0.05237904838064774,0.001599360255897641,0.00039984006397441024,0.06877249100359856,0.021191523390643743,0.5193922431027589,0.18432626949220313
2026-06-17,1262,457,234.0,293.0396196513471,0.6220285261489699,0.6489698890649762,0.01664025356576862,0.025356576862123614,0.42789223454833597,0.03407290015847861,0.04120443740095087,0.011093502377179081,0.000792393026941363,0.10618066561014262,0.004754358161648178,0.5950871632329635,0.6259904912836767
2026-06-18,5037,876,581.0,1007.7955132023029,0.02104427238435577,0.022235457613658922,0.5540996624975184,0.0005955926146515784,0.02044867976970419,0.0015882469724042088,0.00357355568790947,0.0,0.0,0.006352987889616835,0.6400635298788961,0.020051618026603137,0.022632519356759976
2026-06-19,492,177,237.0,356.0345528455285,0.6178861788617886,0.6280487804878049,0.10772357723577236,0.02032520325203252,0.4451219512195122,0.026422764227642278,0.03861788617886179,0.0,0.0,0.1402439024390244,0.09349593495934959,0.5813008130081301,0.6402439024390244
2026-06-20,646,209,294.0,369.73065015479875,0.7987616099071208,0.846749226006192,0.14086687306501547,0.1021671826625387,0.5634674922600619,0.07120743034055728,0.1563467492260062,0.006191950464396285,0.0,0.17647058823529413,0.03560371517027864,0.7058823529411765,0.8204334365325078
2026-06-21,644,225,279.0,360.68633540372673,0.7236024844720497,0.7624223602484472,0.043478260869565216,0.062111801242236024,0.4549689440993789,0.049689440993788817,0.06987577639751552,0.003105590062111801,0.0015527950310559005,0.16149068322981366,0.010869565217391304,0.6677018633540373,0.7220496894409938
2026-06-22,1011,379,303.0,707.4569732937686,0.003956478733926805,0.005934718100890208,0.03165182987141444,0.0,0.002967359050445104,0.0,0.0009891196834817012,0.0,0.0,0.0,0.004945598417408506,0.002967359050445104,0.002967359050445104
2026-07-01,7,4,169.0,212.42857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-02,14,8,183.0,169.71428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
