label,min,max,size,ratio,datensatz
AgentProbeAssistantX2027,0.5477603885590934,2.5051020408163267,2,4.57335377500754,primaer_AB
CashierCoordAgentX,0.3369351669941061,2.470656595002905,3,7.332735900037777,primaer_AB
DataUSAResearchHelperMay24,0.4349962207105064,0.5305084745762711,2,1.219570307323035,primaer_AB
Dec30WageAgent,0.44801980198019803,0.5246913580246914,2,1.1711343018893663,primaer_AB
OAI7C97,0.13010053222945003,0.14668021680216803,2,1.1274374846021187,primaer_AB
OpenAIDataBridge,0.2544529262086514,0.420844327176781,2,1.6539182058047492,primaer_AB
OpenAIJul03Police,0.19396702911259206,0.5199543899657925,2,2.680632849534312,primaer_AB
OpenAIMay31Maids,0.4612689762553523,6.760405356496562,2,14.65610241421069,primaer_AB
OpenAIResearchMar22OECD,0.11437330503478363,0.23089609675645958,3,2.01879360473354,primaer_AB
ResearchAgentAug01,0.4601226993865031,0.9337044534412956,2,2.029251012145749,primaer_AB
ResearchHelper,0.3552585297221245,0.4024390243902439,3,1.1328060854865976,primaer_AB
ResearchHelperAug12X,0.09226060341058155,0.42689434364994666,2,4.627049118139469,primaer_AB
ResearchHelperJul01X,0.22413793103448276,0.518918918918919,2,2.3151767151767153,primaer_AB
Sep26ClothingAgent,0.34937888198757766,0.4797979797979798,2,1.3732884399551064,primaer_AB
TransportHelperDec08OAI,0.33519553072625696,26.304347826086957,2,78.47463768115942,primaer_AB
AgentJune21Prep,0.3105532310553231,5.797602055381102,3,18.66862578012687,mit_Ereignissen_ABC
AgentOpenAISep7,0.4892398204056356,0.6864988558352403,2,1.4031949714682965,mit_Ereignissen_ABC
AgentProbeAssistantX2027,0.11872638963842418,6.984375,3,58.82748579545454,mit_Ereignissen_ABC
AgentResearcherOpenAI,0.4180064308681672,0.43372093023255814,2,1.037593917710197,mit_Ereignissen_ABC
Apr06OECDScout,0.7891876009989717,21.41888045540797,2,27.14041683915898,mit_Ereignissen_ABC
CashierCoordAgentX,0.4504643962848297,8.851865671641791,4,19.65053341539724,mit_Ereignissen_ABC
CashierCoordDec02OAI,1.3229475766567755,1.3959311424100156,2,1.0551673906366548,mit_Ereignissen_ABC
CashierCoordFeb07OAI,0.40628797083839613,0.9509410675717371,3,2.340559248184044,mit_Ereignissen_ABC
CashierCoordJan12OAI,1.1466928618205632,1.8700980392156863,2,1.6308621963919778,mit_Ereignissen_ABC
CashierCoordJun09OAI,0.23348171423583836,2.2767175572519083,4,9.751160019975742,mit_Ereignissen_ABC
CashierCoordMar20OAI,2.750263435194942,5.853391684901532,2,2.128302187345423,mit_Ereignissen_ABC
CashierCoordOct22OAI,3.6450953678474116,5.496027805362463,2,1.5077871086286854,mit_Ereignissen_ABC
CashierCoordOct30OAI,0.36340445269016697,1.7297996121525534,4,4.7599846379079835,mit_Ereignissen_ABC
CashierCoordOurRun,0.3554987212276215,0.8096054888507719,3,2.2773794686377826,mit_Ereignissen_ABC
CashierSequenceAgentMay28,0.27076923076923076,16.41717791411043,4,60.63162297824874,mit_Ereignissen_ABC
DataUSAResearchHelperMay24,0.3745275888133031,7.568181818181818,3,20.20727456196679,mit_Ereignissen_ABC
Dec30WageAgent,0.44801980198019803,0.5246913580246914,2,1.1711343018893663,mit_Ereignissen_ABC
GroceryAgentMar13X,1.2158415841584158,1.946969696969697,2,1.601335011351298,mit_Ereignissen_ABC
GroceryHelperJunTwo,1.413978494623656,3.974622030237581,2,2.8109494206242966,mit_Ereignissen_ABC
GrocerySequenceAgentApr27,0.5016018306636155,5.234192037470726,3,10.434954016307973,mit_Ereignissen_ABC
Jul18OECDScout,0.48289370592844083,0.7467590126087729,2,1.5464252348723588,mit_Ereignissen_ABC
Jul30OECDHelper,0.33112582781456956,0.8010788941335132,2,2.41925826028321,mit_Ereignissen_ABC
Jun05OECDScout,0.19152880775812892,0.8451327433628318,2,4.412562022680698,mit_Ereignissen_ABC
LanguageWatcherNov12,0.7774663677130045,1.8733766233766234,2,2.409591850110956,mit_Ereignissen_ABC
MaidsWatcherDec03,0.7077798861480076,3.220142568520566,3,4.549638427909754,mit_Ereignissen_ABC
May04OECDCurrent,1.6345600920069006,15.571014492753623,2,9.526119332594037,mit_Ereignissen_ABC
OAI7C97,0.13010053222945003,2.0249909888261444,4,15.564817100477319,mit_Ereignissen_ABC
OAIEquityDec02,0.17692189657818014,0.2601479343315894,2,1.4704111778308484,mit_Ereignissen_ABC
OAIHelperMar22X,0.5146198830409356,2.3426616915422884,2,4.552217605156038,mit_Ereignissen_ABC
OAIJul20SectorAgent,0.4616110761485211,1.2918540883603427,2,2.7985768867138163,mit_Ereignissen_ABC
OAIJun19OECDScout,1.77129750982962,13.196374622356496,2,7.450117526347026,mit_Ereignissen_ABC
OECDEquityFeb07Agent,0.18895214648407446,0.6587837837837838,2,3.4865112465886083,mit_Ereignissen_ABC
