merkmal,term,n,beta,se,or_,or_lo,or_hi,p,pseudo_r2
runde,seite,1130,3.331298992468024,0.22808110365683149,27.974656980207246,17.89047134018962,43.74291869003175,2.5806926222462193e-48,0.4254512552282065
runde,strom_anteil,1130,4.168299426000562,0.4260009412690095,64.60549221615324,28.032174050644144,148.89568026192833,1.3095878052716348e-22,0.4254512552282065
runde,stunden,1130,0.007444539747209764,0.0027360677385578703,1.0074723192255903,1.0020841142737635,1.012889496548288,0.006510639365533065,0.4254512552282065
cohort,seite,1130,0.6731121221361157,0.12382828431636879,1.9603286193771998,1.5378927644203724,2.498801206986427,5.4535467285706256e-08,0.042089062846800473
cohort,strom_anteil,1130,2.3662372483184764,0.597921360236254,10.657216286858679,3.301354757055864,34.402924660593825,7.575765783496846e-05,0.042089062846800473
cohort,stunden,1130,0.0035487136998981067,0.0015011765779799362,1.0035550178393495,1.0006066456076839,1.00651207769952,0.018081014441336654,0.042089062846800473
meldeformat,seite,1130,1.1735876209036376,0.13308520875327015,3.233572686660636,2.4911523756233986,4.197251208810992,1.161924275250333e-18,0.12352102477079929
meldeformat,strom_anteil,1130,2.035070557247478,0.33987309935543664,7.65279206637377,3.93114811012228,14.897741008626513,2.127814339003657e-09,0.12352102477079929
meldeformat,stunden,1130,0.008260130787101371,0.0018466680374130992,1.0082943397928275,1.0046515127970264,1.0119503755364903,7.713277581219395e-06,0.12352102477079929
sig_endzeile,seite,1130,1.6993896192547664,0.159897730824381,5.4706072191310895,3.998806036266777,7.484119778399924,2.2084789879877083e-26,0.16860674720989233
sig_endzeile,strom_anteil,1130,2.4864475953870646,0.3477458050529688,12.018505601589618,6.079231814572899,23.76031730673345,8.665965437406673e-13,0.16860674720989233
sig_endzeile,stunden,1130,0.006465760517560502,0.0021799109421342506,1.0064867086713405,1.0021956204336382,1.0107961700069572,0.003016353958978631,0.16860674720989233
please_relay,seite,1130,0.8874219099938714,0.12283313781293237,2.428859753525404,1.9091791471114736,3.0899979769949963,5.025300782867764e-13,0.03692360961337282
please_relay,strom_anteil,1130,0.9332630906011821,0.5731319383953234,2.5427930188057486,0.8269137623854819,7.819190622532045,0.10344932552238618,0.03692360961337282
please_relay,stunden,1130,-0.0008607767814360957,0.0014431081987693688,0.9991395935806237,0.9963175799229051,1.0019696004337297,0.5508584968962287,0.03692360961337282
