groesse,n,chi2_sekundenrest,p_sekundenrest,p_endziffer,p_benford,ggT,anteil_div5,anteil_div10,anteil_div30,anteil_div60
Intervall-Token alle (307),307,70.78501628664496,0.13995405757722626,0.0338736650750888,0.551129261392031,1,0.2703583061889251,0.1563517915309446,0.05211726384364821,0.013029315960912053
Intervall-Token ≥10 Namen,150,63.60000000000001,0.31776176148324087,0.5341462169096916,0.32556536561557525,1,0.25333333333333335,0.12666666666666668,0.05333333333333334,0.006666666666666667
Tier-Kadenz (26),26,47.84615384615383,0.8501986831613355,0.549721618134273,0.7631739099860678,1,0.3076923076923077,0.07692307692307693,0.0,0.0
Tier-R1-Frist (26),26,75.53846153846155,0.07216546526898313,0.4025544656915309,0.43496284017304054,1,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.11538461538461539
Folgefristen (40),40,29.00000000000001,0.999645023780691,0.9642949726850891,0.2845114313152521,1,0.2,0.1,0.025,0.0
