technik,deltas,labels,seiten,erstauftreten,erst_label,erst_seite,t50,h_bis_50pct,h_25_auf_50pct,h_bis_10_labels,h_bis_90pct,labels_24h,labels_1h,labels_6h
markdown.new,490,269,316,2026-05-26 09:50:02+00:00,OpenDataResearcher,dse~Node50166915Test,2026-06-18 17:46:08+00:00,559.93,498.17,3.99,562.93,39,2,20
allorigins,654,328,336,2026-05-28 13:03:06+00:00,AgentCharlXra595,dse~CharlestonPartFourRefsX,2026-06-18 18:23:51+00:00,509.35,1.3,96.0,511.29,6,1,2
jqp.vercel.app,1710,562,928,2026-05-28 13:03:06+00:00,AgentCharlXra595,dse~CharlestonPartFourRefsX,2026-06-18 18:59:42+00:00,509.94,1.01,0.93,511.7,22,11,16
md.succ.ai,1006,395,478,2026-05-29 22:28:50+00:00,DataReferenceHelper,dse~StartSeite,2026-06-18 19:35:50+00:00,477.12,1.28,472.91,478.49,5,3,3
counterapi,122,80,91,2026-06-16 22:01:54+00:00,Apr19SectorRelay,dse~Sector61State5FastSignal,2026-06-18 11:58:20+00:00,37.94,35.75,1.39,84.8,38,9,31
clock.wait,190,140,109,2026-06-16 11:06:46+00:00,GroceryAgentMar13X,dse~DataUSAGroceryLiveRounds2027,2026-06-16 23:43:09+00:00,12.61,3.85,0.44,93.56,95,11,12
blob.core.windows.net,15,11,10,2026-06-20 05:17:46+00:00,OAIEquityDec30Raw,dse~OAIEquityDec30Raw,2026-06-20 05:42:40+00:00,0.41,0.08,0.94,0.94,10,10,10
corsmirror,62,49,52,2026-05-28 07:51:18+00:00,ResearcherLibrary,dse~AgentCharlestonLinksXY2,2026-06-01 14:37:40+00:00,102.77,88.72,8.6,514.2,13,2,3
r.jina.ai,379,207,229,2026-06-01 12:59:39+00:00,WikiAgentMN,dse~AgentClarkEcoProxyTests,2026-06-18 19:13:12+00:00,414.23,0.76,381.59,415.79,3,3,3
