ip16,n_revisions,pct,n_labels,rdap_name,is_microsoft,range,anbieter
172.215,46,0.315,42,cloud,True,172.215.0.0-172.215.255.255,Microsoft
4.242,46,0.315,40,MSFT,True,4.240.0.0-4.255.255.255,Microsoft
52.238,44,0.302,34,MSFT,True,52.224.0.0-52.255.255.255,Microsoft
128.203,44,0.302,41,cloud,True,128.203.0.0-128.203.127.255,Microsoft
40.116,41,0.281,34,MSFT,True,40.74.0.0-40.125.127.255,Microsoft
40.7,40,0.274,36,MSFT,True,40.64.0.0-40.71.255.255,Microsoft
13.78,39,0.267,37,MSFT,True,13.64.0.0-13.107.255.255,Microsoft
130.213,39,0.267,38,cloud,True,130.213.0.0-130.213.127.255,Microsoft
4.155,39,0.267,36,MSFT,True,4.144.0.0-4.159.255.255,Microsoft
40.124,38,0.26,28,MSFT,True,40.74.0.0-40.125.127.255,Microsoft
52.23,37,0.254,37,MSFT,True,52.224.0.0-52.255.255.255,Microsoft
52.234,35,0.24,29,MSFT,True,52.224.0.0-52.255.255.255,Microsoft
52.176,34,0.233,29,MSFT,True,52.145.0.0-52.191.255.255,Microsoft
20.253,33,0.226,28,MSFT,True,20.192.0.0-20.255.255.255,Microsoft
4.246,33,0.226,30,MSFT,True,4.240.0.0-4.255.255.255,Microsoft
40.78,32,0.219,30,MSFT,True,40.74.0.0-40.125.127.255,Microsoft
52.237,32,0.219,29,MSFT,True,52.224.0.0-52.255.255.255,Microsoft
168.62,29,0.199,28,MICROSOFT,True,168.61.0.0-168.63.255.255,Microsoft
137.116,29,0.199,26,MICROSOFT,True,137.116.0.0-137.116.255.255,Microsoft
172.208,28,0.192,28,cloud,True,172.208.0.0-172.208.255.255,Microsoft
20.1,28,0.192,24,MSFT,True,20.0.0.0-20.31.255.255,Microsoft
40.64,28,0.192,26,MSFT,True,40.64.0.0-40.71.255.255,Microsoft
20.246,27,0.185,22,MSFT,True,20.192.0.0-20.255.255.255,Microsoft
20.188,27,0.185,27,MSFT,True,20.180.0.0-20.191.255.255,Microsoft
172.214,26,0.178,19,cloud,True,172.214.0.0-172.214.255.255,Microsoft
52.173,26,0.178,25,MSFT,True,52.145.0.0-52.191.255.255,Microsoft
netz-6a9f48eb,26,0.178,5,,False,,Altafiber (US-Privat)
netz-37f8321b,26,0.178,1,,False,,Arcor (dt. Privatanschluss)
4.149,25,0.171,22,MSFT,True,4.144.0.0-4.159.255.255,Microsoft
52.19,24,0.164,23,MSFT,True,52.145.0.0-52.191.255.255,Microsoft
104.45,22,0.151,17,MSFT,True,104.40.0.0-104.47.255.255,Microsoft
52.241,22,0.151,22,MSFT,True,52.224.0.0-52.255.255.255,Microsoft
23.101,22,0.151,21,MSFT,True,23.96.0.0-23.103.255.255,Microsoft
157.56,21,0.144,19,MSFT-GFS,True,157.54.0.0-157.60.255.255,Microsoft
13.83,19,0.13,19,MSFT,True,13.64.0.0-13.107.255.255,Microsoft
20.14,18,0.123,16,MSFT,True,20.0.0.0-20.31.255.255,Microsoft
20.46,18,0.123,18,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
52.16,17,0.117,17,MSFT,True,52.145.0.0-52.191.255.255,Microsoft
52.177,16,0.11,15,MSFT,True,52.145.0.0-52.191.255.255,Microsoft
134.33,16,0.11,15,cloud,True,134.33.0.0-134.33.127.255,Microsoft
57.151,16,0.11,15,cloud,True,57.151.0.0-57.151.255.255,Microsoft
13.86,15,0.103,11,MSFT,True,13.64.0.0-13.107.255.255,Microsoft
4.236,15,0.103,14,MSFT,True,4.224.0.0-4.239.255.255,Microsoft
20.7,15,0.103,14,MSFT,True,20.0.0.0-20.31.255.255,Microsoft
52.18,14,0.096,13,MSFT,True,52.145.0.0-52.191.255.255,Microsoft
52.155,14,0.096,12,MSFT,True,52.145.0.0-52.191.255.255,Microsoft
20.15,14,0.096,14,MSFT,True,20.0.0.0-20.31.255.255,Microsoft
52.87,14,0.096,1,AT-88-Z,False,52.84.0.0-52.95.255.255,Amazon AWS
172.171,14,0.096,14,cloud,True,172.171.0.0-172.171.255.255,Microsoft
104.4,12,0.082,12,MSFT,True,104.40.0.0-104.47.255.255,Microsoft
20.55,12,0.082,11,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
40.112,12,0.082,12,MSFT,True,40.74.0.0-40.125.127.255,Microsoft
3.23,12,0.082,4,AT-88-Z,False,3.0.0.0-3.127.255.255,Amazon AWS
51.57,11,0.075,9,UK-Microsoft,True,51.54.0.0-51.59.255.255,Microsoft
20.43,11,0.075,11,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
20.221,10,0.069,10,MSFT,True,20.192.0.0-20.255.255.255,Microsoft
20.236,10,0.069,9,MSFT,True,20.192.0.0-20.255.255.255,Microsoft
